品牌,型号,雪茄,税前价格,库存,折扣,原价,链接,更新时间
bolívar,bolívar - tubos no.3 a/t,bolívar - tubos no. 3 a/t 25pcs box,162.31,small quantities available,-3%,167.33,https://selected-cigars.com/en/bolivar-tubos-no-3,2020-04-06 19:21
montecristo,montecristo - open master,montecristo - open master 1 piece,12.30,available,0,12.30,https://selected-cigars.com/en/montecristo-open-master,2020-04-06 19:20
montecristo,montecristo - open master,"montecristo - open master 1 piece, alu tubos",13.30,available,0,13.30,https://selected-cigars.com/en/montecristo-open-master,2020-04-06 19:20
montecristo,montecristo - open master,"montecristo - open master 3pcs, alu tubos",37.54,available,-3%,38.70,https://selected-cigars.com/en/montecristo-open-master,2020-04-06 19:20
montecristo,montecristo - open master,"montecristo - open master 20pcs, wooden box",231.46,sold out,-3%,238.62,https://selected-cigars.com/en/montecristo-open-master,2020-04-06 19:20
partagás,partagas - serie d no.6,partagas serie d no. 6 - 1 piece,8.30,available,0,8.30,https://selected-cigars.com/en/partagas-serie-d-no-6,2020-04-06 19:20
partagás,partagas - serie d no.6,partagas serie d no. 6 - 5pcs,39.05,sold out,-3%,40.26,https://selected-cigars.com/en/partagas-serie-d-no-6,2020-04-06 19:20
partagás,partagas - serie d no.6,partagas serie d no. 6 - 20pcs,156.19,small quantities available,-3%,161.02,https://selected-cigars.com/en/partagas-serie-d-no-6,2020-04-06 19:20
cohiba,cohiba - linea classica coronas especiales,cohiba - linea clasica coronas especiales 1 piece *** 5pcs / customer ***,23.10,available,0,23.10,https://selected-cigars.com/en/cohiba-linea-clasica-coronas-especiales,2020-04-06 19:20
cohiba,cohiba - linea classica coronas especiales,"cohiba - linea clasica coronas especiales 25pcs, wooden box *** 1 box per customer ***",543.37,small quantities available,-3%,560.18,https://selected-cigars.com/en/cohiba-linea-clasica-coronas-especiales,2020-04-06 19:20
partagás,partagás - serie e no.2,partagás - serie e no. 2 1 piece,13.60,available,0,13.60,https://selected-cigars.com/en/partagas-serie-e-no-2,2020-04-06 19:20
partagás,partagás - serie e no.2,partagás serie e no.2 tube -1,15.10,sold out,0,15.10,https://selected-cigars.com/en/partagas-serie-e-no-2,2020-04-06 19:20
partagás,partagás - serie e no.2,partagás serie e no.2 tube -3 pcs,42.62,sold out,-3%,43.94,https://selected-cigars.com/en/partagas-serie-e-no-2,2020-04-06 19:20
partagás,partagás - serie e no.2,partagás - serie e no. 2 5pcs box,63.98,sold out,-3%,65.96,https://selected-cigars.com/en/partagas-serie-e-no-2,2020-04-06 19:20
partagás,partagás - serie e no.2,"partagás - serie e no. 2 25pcs, wooden box",319.91,sold out,-3%,329.80,https://selected-cigars.com/en/partagas-serie-e-no-2,2020-04-06 19:20
quintero,quintero - favoritos,quintero - favoritos 1 piece,3.20,available,0,3.20,https://selected-cigars.com/en/quintero-favoritos,2020-04-06 19:21
quintero,quintero - favoritos,quintero - favoritos a/t  1x tubo,3.90,available,0,3.90,https://selected-cigars.com/en/quintero-favoritos,2020-04-06 19:21
quintero,quintero - favoritos,quintero - favoritos a/t  3x pack,11.70,available,0,11.70,https://selected-cigars.com/en/quintero-favoritos,2020-04-06 19:21
quintero,quintero - favoritos,quintero - favoritos 5pcs,15.05,available,-3%,15.52,https://selected-cigars.com/en/quintero-favoritos,2020-04-06 19:21
quintero,quintero - favoritos,"quintero - favoritos 25pcs, wooden box",75.27,sold out,-3%,77.60,https://selected-cigars.com/en/quintero-favoritos,2020-04-06 19:21
romeo y julieta,romeo y julieta - short churchills,romeo y julieta - short churchills 1 piece,11.60,available,0,11.60,https://selected-cigars.com/en/romeo-y-julieta-short-churchills,2020-04-06 19:21
romeo y julieta,romeo y julieta - short churchills,romeo y julieta - short churchills alu tubo 1 piece,12.70,available,0,12.70,https://selected-cigars.com/en/romeo-y-julieta-short-churchills,2020-04-06 19:21
romeo y julieta,romeo y julieta - short churchills,romeo y julieta - short churchills alu tubo 3pcs,35.85,available,-3%,36.96,https://selected-cigars.com/en/romeo-y-julieta-short-churchills,2020-04-06 19:21
romeo y julieta,romeo y julieta - short churchills,"romeo y julieta - short churchills 10pcs, wooden box",109.14,available,-3%,112.52,https://selected-cigars.com/en/romeo-y-julieta-short-churchills,2020-04-06 19:21
romeo y julieta,romeo y julieta - short churchills,"romeo y julieta - short churchills 25pcs, wooden box",272.86,available,-3%,281.30,https://selected-cigars.com/en/romeo-y-julieta-short-churchills,2020-04-06 19:21
punch,punch  - short de punch,punch  - short de punch 1pc,10.80,available,0,10.80,https://selected-cigars.com/en/punch-short-de-punch,2020-04-06 19:21
punch,punch  - short de punch,punch  - short de punch 10 pcs box/5  boxes per customer,101.62,available,-3%,104.76,https://selected-cigars.com/en/punch-short-de-punch,2020-04-06 19:21
partagás,partagás - shorts,partagás - shorts 1 piece,6.60,available,0,6.60,https://selected-cigars.com/en/partagas-shorts,2020-04-06 19:21
partagás,partagás - shorts,"partagás - shorts 25pcs, wooden box",155.25,sold out,-3%,160.05,https://selected-cigars.com/en/partagas-shorts,2020-04-06 19:21
partagás,partagás - shorts,"partagás - shorts 50pcs, wooden box",310.50,available,-3%,320.10,https://selected-cigars.com/en/partagas-shorts,2020-04-06 19:21
